category,title,description,price,image
Snacks,Beef Samosas (3pcs)," Crispy triangular pastries filled with spiced minced beef, deep-fried to a golden brown, offering a savory and crunchy snack.",150,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Vegetable Samosas (3pcs)," Golden and crispy pastry pockets filled with a mix of seasoned vegetables, a perfect vegetarian snack.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Hot Spicy Beef Samosas," A spicier take on the classic beef samosa, with a filling that’s packed with extra heat and flavor for those who like it hot.",100,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Egg Sandwich," A satisfying sandwich filled with a creamy egg mixture, seasoned to perfection, ideal for a quick, delicious meal on the go.",150,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Hot Dogs," Juicy sausage nestled in a soft bun, served with classic toppings like mustard, ketchup, or relish, a beloved fast-food favorite.",250,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Sausages (2pcs)," Savory sausages, grilled or fried, with a juicy interior and crisp exterior, perfect for breakfast or a snack.",150,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Beef Kebabs," Skewers of seasoned ground beef, grilled to bring out the rich flavors, a delicious option for a snack or appetizer.",100,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Snacks,Baked Beans," Tender beans cooked in a rich, slightly sweet tomato sauce, a comforting and hearty side dish that pairs well with breakfast or any meal.",200,https://plus.unsplash.com/premium_photo-1687014520257-3b09f6668092?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Full Breakfast," A hearty meal featuring a combination of eggs, toast, sausages, bacon, and often beans or grilled tomatoes, perfect for a satisfying and balanced start to the day.",500,https://plus.unsplash.com/premium_photo-1691090283034-a0973e5d1b41?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Continental Breakfast," A lighter breakfast option, typically including pastries, fresh bread, butter, jam, and coffee or tea, ideal for those looking for a quick, delicious morning bite.",300,https://plus.unsplash.com/premium_photo-1675715403153-cd81083087a4?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Hot Chocolate," A comforting, rich drink made with warm milk and cocoa powder, smooth and sweet, perfect for warming up on a chilly day.",200,https://images.unsplash.com/photo-1517578239113-b03992dcdd25?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Pre-Mixed Pot of Tea," A classic pot of tea brewed and mixed to the right strength, ready to be enjoyed plain or with milk and sugar, perfect for tea lovers.",150,https://plus.unsplash.com/premium_photo-1726776145390-eaef92b212d3?q=80&w=2762&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,English Grey Tea," A fragrant black tea with a hint of bergamot, offering a unique citrus aroma, a refined choice for a sophisticated tea experience.",200,https://images.unsplash.com/photo-1523239514599-93d5b98634e6?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Masala Tea," A spiced tea blend with warming flavors of ginger, cardamom, and cloves, offering a fragrant and invigorating drink with a touch of sweetness.",200,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?q=80&w=2667&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Strong Coffee," Bold and robust coffee brewed to a stronger intensity, perfect for those who need an extra kick of caffeine to start their day.",150,https://images.unsplash.com/photo-1514517604298-cf80e0fb7f1e?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Mild Tea," A lightly brewed tea, gentle in flavor, ideal for a relaxed drink that’s not too strong yet still comforting.",200,https://plus.unsplash.com/premium_photo-1722686478640-ba1241036f1f?q=80&w=2718&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Cocoa with Milk," A creamy, chocolatey drink made with cocoa powder and milk, providing a smooth, sweet treat enjoyed by all ages.",200,https://images.unsplash.com/photo-1662106324078-50ae25130065?q=80&w=2727&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Glass of Milk," Fresh, cold milk served in a glass, nutritious and refreshing, perfect on its own or alongside breakfast.",100,https://plus.unsplash.com/premium_photo-1694481100261-ab16523c4093?q=80&w=2310&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Assorted Fruit Juice," A selection of fresh fruit juices, offering a refreshing and vibrant blend of flavors, packed with vitamins to kickstart your morning.",100,https://plus.unsplash.com/premium_photo-1676642614338-e751f7b69ca1?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Mineral Water," Pure, refreshing mineral water, served chilled or at room temperature, perfect for hydration at any time of day.",50,https://images.unsplash.com/photo-1560847468-5eef330f455a?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Soda," A refreshing carbonated drink available in a variety of flavors, a popular choice for a bubbly, sweet treat.",50,https://images.unsplash.com/photo-1639736921927-3ca7613f231b?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Breakfast,Avocado Puree & Vanilla Ice Cream," A creamy and unique dessert featuring smooth avocado puree paired with vanilla ice cream, offering a delightful contrast of flavors and textures for a refreshing treat.",150,https://plus.unsplash.com/premium_photo-1663853490433-5ed3ff06f9ea?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Full Chicken (Local)," A whole locally sourced chicken, cooked to perfection, offering tender meat with rich, natural flavors, perfect for sharing or as a centerpiece for any meal.",1800,https://plus.unsplash.com/premium_photo-1723575734758-97e6e862a670?q=80&w=2670&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Chicken Stew (1/4)," A flavorful quarter chicken cooked in a savory broth with vegetables and spices, creating a comforting, tender dish with rich flavors in every bite.",450,https://images.unsplash.com/photo-1606471191009-63994c53433b?q=80&w=2126&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Chicken Wet Fry (1/4)," A quarter chicken cooked in a thick, spicy sauce, tender and juicy, ideal for those who love a saucier, robust flavor.",450,https://images.unsplash.com/photo-1606471191009-63994c53433b?q=80&w=2126&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Chicken Dry Fry (1/4)," A quarter chicken dry-fried with aromatic spices and herbs, resulting in a crispy, flavorful dish without sauce, showcasing the rich flavors of the chicken.",450,https://images.unsplash.com/photo-1630564510846-09d14907db47?q=80&w=2787&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Fish Dry Fry," Fresh fish dry-fried with spices until crispy on the outside and tender inside, a deliciously simple and flavorful way to enjoy fish.",450,https://plus.unsplash.com/premium_photo-1693262738292-b53143561923?q=80&w=2671&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Fish Wet Fry," Fresh fish cooked in a thick, spiced sauce, making it juicy and tender with a deep, savory flavor, perfect for pairing with sides like ugali or rice.",450,https://plus.unsplash.com/premium_photo-1693262738292-b53143561923?q=80&w=2671&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Boiled Fish," Fresh fish boiled in a light broth, delicately seasoned to bring out its natural flavors, ideal for a simple, nutritious meal.",450,https://plus.unsplash.com/premium_photo-1693262738292-b53143561923?q=80&w=2671&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Local Vegetable," A medley of locally sourced leafy greens, lightly sautéed or steamed, seasoned simply to retain their natural taste and nutrients.",200,https://plus.unsplash.com/premium_photo-1694895244957-f4e993071af9?q=80&w=2669&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Beef Wet Fry," Succulent pieces of beef cooked in a thick, spiced sauce, tender and flavorful, great for pairing with traditional sides.",450,https://plus.unsplash.com/premium_photo-1723914209198-71571696d023?q=80&w=2604&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Beef Dry Fry," Spiced beef fried until crispy and flavorful, without sauce, creating a savory dish with a delicious, bold taste.",450,https://plus.unsplash.com/premium_photo-1723914209198-71571696d023?q=80&w=2604&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Beef Boiled," Tender beef pieces boiled in a seasoned broth, capturing the essence of the meat’s natural flavor in a light, comforting dish.",400,https://plus.unsplash.com/premium_photo-1723914209198-71571696d023?q=80&w=2604&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Ugali," A staple food made from maize flour, cooked into a dense, smooth texture, perfect for pairing with any stew, vegetable, or fried dish.",50,https://bakinghermann.com/wp-content/uploads/2024/05/Ugali-3-scaled.jpg
Mains,Rice," Fluffy, steamed rice, a versatile side that complements a variety of dishes with its light and neutral flavor.",50,https://plus.unsplash.com/premium_photo-1675814316651-3ce3c6409922?q=80&w=2672&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Mains,Chapati," Soft, layered flatbread, pan-cooked until golden, with a slightly crispy edge, perfect for scooping up stew or enjoying as a side.",50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSA2-YDIY1jUliMzhfF29ia0Lrlua-hV-1mog&s
